journal_name,publication_count
The Annals of thoracic surgery,2
Cardiology in review,1
HeartRhythm case reports,1
Current stem cell research & therapy,1
Behavioural and cognitive psychotherapy,1
Environmental science & technology,1
Journal of exposure science & environmental epidemiology,1
"Arthritis & rheumatology (Hoboken, N.J.)",1
PloS one,1
Ticks and tick-borne diseases,1
PLoS neglected tropical diseases,1
The Journal of physiology,1
World journal for pediatric & congenital heart surgery,1
Case reports in transplantation,1
"Innovations (Philadelphia, Pa.)",1
The heart surgery forum,1
Cardiology in the young,1
Journal of cardiothoracic and vascular anesthesia,1
