journal_name,publication_count
The Journal of thoracic and cardiovascular surgery,6
The Annals of thoracic surgery,6
JTCVS open,5
JTCVS techniques,5
Journal of cardiothoracic surgery,3
Annals of cardiothoracic surgery,3
Journal of cardiothoracic and vascular anesthesia,3
Journal of the American Heart Association,3
The American journal of cardiology,2
"Aorta (Stamford, Conn.)",2
Cureus,2
Therapeutic advances in infectious disease,2
Multimedia manual of cardiothoracic surgery : MMCTS,1
The Annals of pharmacotherapy,1
The Journal of animal ecology,1
Journal of vascular surgery cases and innovative techniques,1
Journal of vascular surgery,1
Journal of clinical medicine,1
Clinical hematology international,1
Chest,1
"Breathe (Sheffield, England)",1
"Radiographics : a review publication of the Radiological Society of North America, Inc",1
Bone marrow transplantation,1
"Federal practitioner : for the health care professionals of the VA, DoD, and PHS",1
JAMA psychiatry,1
Science advances,1
The European respiratory journal,1
AJNR. American journal of neuroradiology,1
European journal of oncology nursing : the official journal of European Oncology Nursing Society,1
Frontiers in medicine,1
"International journal of surgery (London, England)",1
Frontiers in pharmacology,1
IEEE transactions on medical imaging,1
Revista espanola de enfermedades digestivas,1
Perfusion,1
JACC. Heart failure,1
"Diagnostics (Basel, Switzerland)",1
"Medicines (Basel, Switzerland)",1
Biomedicines,1
Journal of the science of food and agriculture,1
International journal of molecular sciences,1
European journal of case reports in internal medicine,1
Neurotoxicology,1
The Science of the total environment,1
World journal for pediatric & congenital heart surgery,1
JACC. Case reports,1
JHLT open,1
Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,1
"Innovations (Philadelphia, Pa.)",1
Critical care medicine,1
Journal of cardiovascular development and disease,1
"Vascular medicine (London, England)",1
NPJ Regenerative medicine,1
Atherosclerosis,1
Circulation. Cardiovascular interventions,1
JAMA network open,1
"Journal of medical imaging (Bellingham, Wash.)",1
Surgical innovation,1
Transplantation proceedings,1
Neurobiology of disease,1
Seminars in thoracic and cardiovascular surgery,1
Anesthesia and analgesia,1
"Internal medicine (Tokyo, Japan)",1
The American journal of medicine,1
Scientific reports,1
