journal_name,publication_count
The Annals of thoracic surgery,35
Journal of cardiac surgery,19
The Journal of thoracic and cardiovascular surgery,18
Seminars in thoracic and cardiovascular surgery,7
Journal of the American Heart Association,4
The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,4
JAMA network open,4
Journal of thoracic disease,3
European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery,3
"Innovations (Philadelphia, Pa.)",3
Journal of cardiothoracic and vascular anesthesia,3
Asian cardiovascular & thoracic annals,2
Bone marrow transplantation,2
Cureus,2
Cells,2
Clinical transplantation,2
Journal of cardiovascular development and disease,2
JACC. Heart failure,2
Expert review of medical devices,1
Communications earth & environment,1
Geophysical research letters,1
HeartRhythm case reports,1
Cardiology,1
General thoracic and cardiovascular surgery,1
"Echocardiography (Mount Kisco, N.Y.)",1
Annals of surgery,1
Pharmacology research & perspectives,1
Trials,1
"Nutrition (Burbank, Los Angeles County, Calif.)",1
BMJ (Clinical research ed.),1
The breast journal,1
"Acta paediatrica (Oslo, Norway : 1992)",1
The Journal of antimicrobial chemotherapy,1
OncoTargets and therapy,1
Aging,1
Journal of biomechanical engineering,1
Annals of surgical oncology,1
Oncology reports,1
Redox biology,1
Molecular medicine reports,1
Heart & lung : the journal of critical care,1
Advanced drug delivery reviews,1
European journal of case reports in internal medicine,1
Journal of Alzheimer's disease : JAD,1
International journal of surgery case reports,1
International journal of pharmaceutics,1
Nature communications,1
Investigative radiology,1
Journal of vascular surgery cases and innovative techniques,1
Critical care clinics,1
Case reports in anesthesiology,1
AMA journal of ethics,1
Annals of vascular surgery,1
Journal of surgical oncology,1
The International journal of artificial organs,1
Transplantation,1
"The International journal of angiology : official publication of the International College of Angiology, Inc",1
American journal of physiology. Cell physiology,1
Perfusion,1
"Journal of the Royal Society, Interface",1
Circulation,1
Surgery,1
"Healthcare (Basel, Switzerland)",1
Tissue engineering. Part A,1
Genes,1
Journal of cardiovascular translational research,1
Microbial biotechnology,1
Scientific reports,1
Medical engineering & physics,1
Cytokine,1
Artificial organs,1
Translational andrology and urology,1
Evidence-based complementary and alternative medicine : eCAM,1
PloS one,1
Journal of the American College of Cardiology,1
Circulation. Cardiovascular quality and outcomes,1
Methodist DeBakey cardiovascular journal,1
JAMA internal medicine,1
BMJ open,1
JAMA,1
Journal of cardiac failure,1
Journal of addiction medicine,1
Journal of cardiothoracic surgery,1
The Journal of veterinary medical science,1
JACC. Cardiovascular imaging,1
JAMA surgery,1
BMJ case reports,1
Urology,1
