journal_name,publication_count
The Journal of thoracic and cardiovascular surgery,13
The Annals of thoracic surgery,8
"Aorta (Stamford, Conn.)",4
Seminars in thoracic and cardiovascular surgery,3
Journal of cardiac surgery,3
JAMA surgery,3
Circulation,2
Scientific reports,2
PloS one,2
Journal of thoracic imaging,2
Journal of cardiac failure,2
European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery,2
ASAIO journal (American Society for Artificial Internal Organs : 1992),2
The Canadian journal of cardiology,2
Clinical transplantation,1
Haematologica,1
BMC infectious diseases,1
International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,1
"Cerebral cortex (New York, N.Y. : 1991)",1
Antimicrobial agents and chemotherapy,1
Journal of neurosurgery,1
Bone marrow transplantation,1
Theranostics,1
Laboratory animals,1
Pharmaceutics,1
Clinical journal of gastroenterology,1
Acta biomaterialia,1
Polymers,1
Texas Heart Institute journal,1
Global cardiology science & practice,1
Indian journal of thoracic and cardiovascular surgery,1
A&A practice,1
Clinical lung cancer,1
IEEE journal of biomedical and health informatics,1
The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,1
Frontiers in bioengineering and biotechnology,1
Nature biomedical engineering,1
Journal of biomechanical engineering,1
Journal of the mechanical behavior of biomedical materials,1
Advanced healthcare materials,1
Cell,1
Aging,1
Journal of visualized experiments : JoVE,1
Interactive cardiovascular and thoracic surgery,1
Journal of the American Heart Association,1
Journal of cardiothoracic surgery,1
Mayo Clinic proceedings,1
Haemophilia : the official journal of the World Federation of Hemophilia,1
Annals of surgery,1
ACS medicinal chemistry letters,1
BMJ case reports,1
