journal_name,publication_count
The Journal of thoracic and cardiovascular surgery,9
The Annals of thoracic surgery,9
European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery,5
BMJ (Clinical research ed.),3
Seminars in thoracic and cardiovascular surgery,3
Canadian Urological Association journal = Journal de l'Association des urologues du Canada,3
MedChemComm,2
Annals of translational medicine,2
Journal of the American College of Cardiology,2
Bioorganic & medicinal chemistry,2
Expert opinion on drug delivery,1
Journal of Indian Association of Pediatric Surgeons,1
"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",1
Open forum infectious diseases,1
"Global health, science and practice",1
Intellectual and developmental disabilities,1
Proceedings of the National Academy of Sciences of the United States of America,1
Drug discovery today,1
Bone marrow transplantation,1
Cell systems,1
Journal of vascular surgery,1
Frontiers in psychology,1
Behavior research methods,1
Nature communications,1
Cancer cell,1
Molecular pharmaceutics,1
International journal of environmental research and public health,1
Biosensors & bioelectronics,1
World neurosurgery,1
Journal of thoracic disease,1
Journal of cardiothoracic and vascular anesthesia,1
Prehospital emergency care,1
JAMA surgery,1
Health equity,1
The neuroradiology journal,1
Infection and immunity,1
Cleveland Clinic journal of medicine,1
"Medical journal, Armed Forces India",1
JAMA dermatology,1
Clinical transplantation,1
"The International journal of angiology : official publication of the International College of Angiology, Inc",1
The American journal of cardiology,1
Circulation journal : official journal of the Japanese Circulation Society,1
Circulation,1
American journal of therapeutics,1
Annals of cardiothoracic surgery,1
The Thoracic and cardiovascular surgeon,1
Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,1
JAMA,1
General thoracic and cardiovascular surgery,1
